member_casual,day_of_week,jan_avg_ride_length_in_sec,feb_avg_ride_length_in_sec,march_avg_ride_length_in_sec,april_avg_ride_length_in_sec,may_avg_ride_length_in_sec,june_avg_ride_length_in_sec,july_avg_ride_length_in_sec,aug_avg_ride_length_in_sec,sept_avg_ride_length_in_sec,oct_avg_ride_length_in_sec,nov_avg_ride_length_in_sec,dec_avg_ride_length_in_sec
casual,1,1223,1867,1801,1929,1962,1804,1922,1776,1581,1761,1388,1380
member,1,915,868,799,847,895,942,886,914,817,824,712,714
casual,2,1596,1532,1449,1468,1655,1577,1574,1472,1316,1324,1090,1059
member,2,813,740,712,735,794,778,766,758,712,684,621,651
casual,3,1310,1529,1392,1386,1373,1386,1459,1341,1110,1142,891,804
member,3,892,774,717,744,753,777,779,756,707,698,637,624
casual,4,1237,1184,1143,1277,1445,1546,1397,1695,1073,1100,963,871
member,4,923,761,666,675,787,832,777,786,703,696,650,618
casual,5,1092,1218,1183,1242,1384,1499,1608,1379,1059,1148,1069,1018
member,5,722,749,678,682,756,811,825,755,711,682,681,622
casual,6,1103,1491,1364,1334,1612,1788,1670,1493,1186,1349,1129,974
member,6,699,756,667,673,785,801,838,788,707,712,671,634
casual,7,1387,1863,1709,1743,1923,1749,1862,1627,1501,1624,1356,1235
member,7,810,847,794,840,933,873,939,892,798,784,707,672